ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,DXY_Index,DXY_Index_lower,DXY_Index_upper,Gold_Price_USD,Gold_Price_USD_lower,Gold_Price_USD_upper,Real_Interest_Rate,Real_Interest_Rate_lower,Real_Interest_Rate_upper,VIX_Index,VIX_Index_lower,VIX_Index_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-12-30,26.54536843755544,24.13343009663752,29.1757553667805,25.973279258573367,26.866319452692725,-1.1586078295479099,-1.1586078295479099,-1.1586078295479099,2.061204413256226,2.061204413256226,2.061204413256226,-0.15655643279847486,-0.15655643279847486,-0.15655643279847486,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,0.17192384871829322,0.17192384871829322,0.17192384871829322,-0.3968261217321414,-0.3968261217321414,-0.3968261217321414,1.075603250976667,1.075603250976667,1.075603250976667,-0.5068532805262325,-0.5068532805262325,-0.5068532805262325,0.0,0.0,0.0,26.717292286273732
2024-12-31,26.549628958516635,24.216252121374826,29.187571719929984,25.969431724463902,26.878565611038557,-1.1586078295479099,-1.1586078295479099,-1.1586078295479099,2.061204413256226,2.061204413256226,2.061204413256226,-0.15655643279847486,-0.15655643279847486,-0.15655643279847486,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,0.16541358183899868,0.16541358183899868,0.16541358183899868,-0.3968261217321414,-0.3968261217321414,-0.3968261217321414,1.0819667168930314,1.0819667168930314,1.0819667168930314,-0.5197270133218912,-0.5197270133218912,-0.5197270133218912,0.0,0.0,0.0,26.715042540355633
2025-01-01,26.553889479477817,26.6124834541914,31.539839573419496,25.965698448753624,26.890811769384378,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.5689407984164947,2.5689407984164947,2.5689407984164947,2.019177797959275,2.019177797959275,2.019177797959275,1.081512468423796,1.081512468423796,1.081512468423796,-0.5317494679665763,-0.5317494679665763,-0.5317494679665763,0.0,0.0,0.0,29.122830277894312
2025-01-02,26.55815000043901,26.416098730247672,31.763641534913027,25.96196517304336,26.903057927730206,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.5647729816658473,2.5647729816658473,2.5647729816658473,2.019177797959275,2.019177797959275,2.019177797959275,1.0883222758074365,1.0883222758074365,1.0883222758074365,-0.542727092100864,-0.542727092100864,-0.542727092100864,0.0,0.0,0.0,29.122922982104857
2025-01-03,26.562410521400192,26.606088884161952,31.69201537742451,25.953476930989318,26.91530408607603,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.5506265749635895,2.5506265749635895,2.5506265749635895,2.019177797959275,2.019177797959275,2.019177797959275,1.0839365525331353,1.0839365525331353,1.0839365525331353,-0.5524877755288208,-0.5524877755288208,-0.5524877755288208,0.0,0.0,0.0,29.113037096363783
2025-01-06,26.57519208428376,26.611731099810154,31.751439354041292,25.9544785995989,26.94081763700308,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.521634972381232,2.521634972381232,2.521634972381232,2.019177797959275,2.019177797959275,2.019177797959275,1.0756032509820472,1.0756032509820472,1.0756032509820472,-0.5731460765600896,-0.5731460765600896,-0.5731460765600896,0.0,0.0,0.0,29.096827056664992
2025-01-07,26.579452605244953,26.518417158276733,31.589317768877464,25.945686306966955,26.983810484942754,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.524276603959134,2.524276603959134,2.524276603959134,2.019177797959275,2.019177797959275,2.019177797959275,1.0819667168904377,1.0819667168904377,1.0819667168904377,-0.5768679108905788,-0.5768679108905788,-0.5768679108905788,0.0,0.0,0.0,29.103729209204086
2025-01-08,26.583713126206142,26.484010200102663,31.550174728184082,25.940284726725835,27.0181910720096,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.5217471980548045,2.5217471980548045,2.5217471980548045,2.019177797959275,2.019177797959275,2.019177797959275,1.0815124684237827,1.0815124684237827,1.0815124684237827,-0.5789430683282533,-0.5789430683282533,-0.5789430683282533,0.0,0.0,0.0,29.105460324260946
2025-01-09,26.587973647167324,26.616035118422232,31.50731802556723,25.9348831464847,27.028573236126565,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.5281188094713576,2.5281188094713576,2.5281188094713576,2.019177797959275,2.019177797959275,2.019177797959275,1.0883222758044848,1.0883222758044848,1.0883222758044848,-0.5793812642924022,-0.5793812642924022,-0.5793812642924022,0.0,0.0,0.0,29.116092456638683
2025-01-10,26.592234168128517,26.59410103971358,32.01258240617489,25.92982803033349,27.038955400243534,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.5248913725231428,2.5248913725231428,2.5248913725231428,2.019177797959275,2.019177797959275,2.019177797959275,1.083936552533205,1.083936552533205,1.083936552533205,-0.5782229779693369,-0.5782229779693369,-0.5782229779693369,0.0,0.0,0.0,29.11712554065166
2025-01-13,26.60501573101208,26.431043319385367,31.582382560843,25.92516927105716,27.057858606282878,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.5287975388138304,2.5287975388138304,2.5287975388138304,2.019177797959275,2.019177797959275,2.019177797959275,1.075603250981967,1.075603250981967,1.075603250981967,-0.5659835101274105,-0.5659835101274105,-0.5659835101274105,0.0,0.0,0.0,29.13381326982591
2025-01-14,26.609276251973267,26.60538661773204,31.633236101783947,25.92197029118336,27.068240770399843,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.5417781696169737,2.5417781696169737,2.5417781696169737,2.019177797959275,2.019177797959275,2.019177797959275,1.081966716890883,1.081966716890883,1.081966716890883,-0.5593663452331836,-0.5593663452331836,-0.5593663452331836,0.0,0.0,0.0,29.15105442159024
2025-01-15,26.61353677293446,26.364786416837642,31.920044021562113,25.913864548110485,27.09124849339777,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.5489756315687138,2.5489756315687138,2.5489756315687138,2.019177797959275,2.019177797959275,2.019177797959275,1.0815124684237878,1.0815124684237878,1.0815124684237878,-0.551714634814349,-0.551714634814349,-0.551714634814349,0.0,0.0,0.0,29.162512404503172
2025-01-16,26.61779729389565,26.670240976355355,31.70761770864248,25.907535767658853,27.105198430754964,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.5643156146545225,2.5643156146545225,2.5643156146545225,2.019177797959275,2.019177797959275,2.019177797959275,1.088322275804053,1.088322275804053,1.088322275804053,-0.5431844591088049,-0.5431844591088049,-0.5431844591088049,0.0,0.0,0.0,29.18211290855017
2025-01-17,26.62205781485683,26.60110067074998,31.805711899900192,25.904115637630323,27.117658400608338,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.5691787689150325,2.5691787689150325,2.5691787689150325,2.019177797959275,2.019177797959275,2.019177797959275,1.0839365525278342,1.0839365525278342,1.0839365525278342,-0.5339355815720767,-0.5339355815720767,-0.5339355815720767,0.0,0.0,0.0,29.191236583771865
2025-01-20,26.634839377740402,26.544232236506602,31.8888289122131,25.90921654952418,27.143875014988243,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.5913497930334546,2.5913497930334546,2.5913497930334546,2.019177797959275,2.019177797959275,2.019177797959275,1.0756032509734454,1.0756032509734454,1.0756032509734454,-0.5034312558992655,-0.5034312558992655,-0.5034312558992655,0.0,0.0,0.0,29.226189170773857
2025-01-21,26.639099898701588,26.515126880960995,31.866892827676548,25.887311349527398,27.17336446729574,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.6083268352801006,2.6083268352801006,2.6083268352801006,2.019177797959275,2.019177797959275,2.019177797959275,1.0819667168913285,1.0819667168913285,1.0819667168913285,-0.49281767957050293,-0.49281767957050293,-0.49281767957050293,0.0,0.0,0.0,29.247426733981687
2025-01-22,26.643360419662773,26.586509130371958,32.113015414752226,25.881420525162383,27.196575868889262,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.6185071041505137,2.6185071041505137,2.6185071041505137,2.019177797959275,2.019177797959275,2.019177797959275,1.0815124684237851,1.0815124684237851,1.0815124684237851,-0.48218316223254637,-0.48218316223254637,-0.48218316223254637,0.0,0.0,0.0,29.261867523813287
2025-01-23,26.647620940623966,26.65143861798589,31.93304852400537,25.873723666704254,27.230981843916293,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.635878417177663,2.635878417177663,2.635878417177663,2.019177797959275,2.019177797959275,2.019177797959275,1.0883222758051263,1.0883222758051263,1.0883222758051263,-0.4716216565867385,-0.4716216565867385,-0.4716216565867385,0.0,0.0,0.0,29.28349935780163
2025-01-24,26.65188146158516,26.727063791255443,31.869076303652275,25.85341669349659,27.260548072905713,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.6419080649695412,2.6419080649695412,2.6419080649695412,2.019177797959275,2.019177797959275,2.019177797959275,1.0839365525279039,1.0839365525279039,1.0839365525279039,-0.4612062855176373,-0.4612062855176373,-0.4612062855176373,0.0,0.0,0.0,29.2937895265547
2025-01-27,26.664663024468712,26.50259282378081,31.96259958914947,25.84327207584151,27.285747172248087,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.663539715095963,2.663539715095963,2.663539715095963,2.019177797959275,2.019177797959275,2.019177797959275,1.0756032509733653,1.0756032509733653,1.0756032509733653,-0.43124133383667707,-0.43124133383667707,-0.43124133383667707,0.0,0.0,0.0,29.328202739564674
2025-01-28,26.66892354542991,26.736264350234883,31.97121801005135,25.832471229416434,27.302425229668092,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.679436188314895,2.679436188314895,2.679436188314895,2.019177797959275,2.019177797959275,2.019177797959275,1.081966716888735,1.081966716888735,1.081966716888735,-0.421708326533115,-0.421708326533115,-0.421708326533115,0.0,0.0,0.0,29.348359733744804
2025-01-29,26.6731840663911,26.86393629917747,32.00228088302486,25.82271525233638,27.319103287088105,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.68832178218911,2.68832178218911,2.68832178218911,2.019177797959275,2.019177797959275,2.019177797959275,1.0815124684237982,1.0815124684237982,1.0815124684237982,-0.41236848419396255,-0.41236848419396255,-0.41236848419396255,0.0,0.0,0.0,29.36150584858021
2025-01-30,26.677444587352284,26.34865280430971,32.193478125665735,25.812959275256325,27.346437465591293,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.7043235039858398,2.7043235039858398,2.7043235039858398,2.019177797959275,2.019177797959275,2.019177797959275,1.0883222758062001,1.0883222758062001,1.0883222758062001,-0.4031765697796356,-0.4031765697796356,-0.4031765697796356,0.0,0.0,0.0,29.381768091338124
2025-01-31,26.681705108313473,26.612685000707433,31.881821402889386,25.803282692713413,27.382062703303866,-1.0230654262746177,-1.0230654262746177,-1.0230654262746177,3.905356412866101,3.905356412866101,3.905356412866101,0.27975308400977433,0.27975308400977433,0.27975308400977433,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.7090392630573437,2.7090392630573437,2.7090392630573437,2.019177797959275,2.019177797959275,2.019177797959275,1.0839365525364402,1.0839365525364402,1.0839365525364402,-0.39407508743837133,-0.39407508743837133,-0.39407508743837133,0.0,0.0,0.0,29.390744371370815
2025-02-03,26.694486671197044,25.076129274346968,30.542241130420955,25.802986670367808,27.426208982938817,-0.810070221130865,-0.810070221130865,-0.810070221130865,2.604118680427216,2.604118680427216,2.604118680427216,-0.24088163748930005,-0.24088163748930005,-0.24088163748930005,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,1.1192749161228535,1.1192749161228535,1.1192749161228535,0.4103005491650681,0.4103005491650681,0.4103005491650681,1.0756032509760154,1.0756032509760154,1.0756032509760154,-0.3666288840182302,-0.3666288840182302,-0.3666288840182302,0.0,0.0,0.0,27.8137615873199
2025-02-04,26.69874719215823,25.082383762449645,30.318129368930034,25.783566693236782,27.432467440162853,-0.810070221130865,-0.810070221130865,-0.810070221130865,2.604118680427216,2.604118680427216,2.604118680427216,-0.24088163748930005,-0.24088163748930005,-0.24088163748930005,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,1.1350725492060476,1.1350725492060476,1.1350725492060476,0.4103005491650681,0.4103005491650681,0.4103005491650681,1.0819667168931908,1.0819667168931908,1.0819667168931908,-0.3571947168522112,-0.3571947168522112,-0.3571947168522112,0.0,0.0,0.0,27.833819741364277
2025-02-05,26.703007713119415,25.09055177534737,30.507352949526094,25.770991417936106,27.452728517051533,-0.810070221130865,-0.810070221130865,-0.810070221130865,2.604118680427216,2.604118680427216,2.604118680427216,-0.24088163748930005,-0.24088163748930005,-0.24088163748930005,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,1.1443061386221223,1.1443061386221223,1.1443061386221223,0.4103005491650681,0.4103005491650681,0.4103005491650681,1.081512468423777,1.081512468423777,1.081512468423777,-0.3475068789667226,-0.3475068789667226,-0.3475068789667226,0.0,0.0,0.0,27.84731385174154
2025-02-06,26.70726823408061,25.06020131812154,30.41751897599903,25.7639848285596,27.46617725768612,-0.810070221130865,-0.810070221130865,-0.810070221130865,2.604118680427216,2.604118680427216,2.604118680427216,-0.24088163748930005,-0.24088163748930005,-0.24088163748930005,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,1.161111747285802,1.161111747285802,1.161111747285802,0.4103005491650681,0.4103005491650681,0.4103005491650681,1.0883222758072737,1.0883222758072737,1.0883222758072737,-0.3375110776865398,-0.3375110776865398,-0.3375110776865398,0.0,0.0,0.0,27.86837998136641
2025-02-07,26.71152875504179,25.000641613696406,30.484189932155584,25.762818911895792,27.506099194056137,-0.810070221130865,-0.810070221130865,-0.810070221130865,2.604118680427216,2.604118680427216,2.604118680427216,-0.24088163748930005,-0.24088163748930005,-0.24088163748930005,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,1.1670715997748404,1.1670715997748404,1.1670715997748404,0.4103005491650681,0.4103005491650681,0.4103005491650681,1.0839365525365103,1.0839365525365103,1.0839365525365103,-0.32716550192673804,-0.32716550192673804,-0.32716550192673804,0.0,0.0,0.0,27.87860035481663
2025-02-10,26.724310317925354,25.25567622813165,30.597006084325525,25.76152671407334,27.545052001628797,-0.810070221130865,-0.810070221130865,-0.810070221130865,2.604118680427216,2.604118680427216,2.604118680427216,-0.24088163748930005,-0.24088163748930005,-0.24088163748930005,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,1.1920579855455282,1.1920579855455282,1.1920579855455282,0.4103005491650681,0.4103005491650681,0.4103005491650681,1.0756032509786655,1.0756032509786655,1.0756032509786655,-0.29384581459820514,-0.29384581459820514,-0.29384581459820514,0.0,0.0,0.0,27.916368303470882
2025-02-11,26.72857083888655,25.101089860068235,30.69345589238756,25.754305085775204,27.559061037219106,-0.810070221130865,-0.810070221130865,-0.810070221130865,2.604118680427216,2.604118680427216,2.604118680427216,-0.24088163748930005,-0.24088163748930005,-0.24088163748930005,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,1.2102629314629292,1.2102629314629292,1.2102629314629292,0.4103005491650681,0.4103005491650681,0.4103005491650681,1.0819667168905973,1.0819667168905973,1.0819667168905973,-0.28200433459273616,-0.28200433459273616,-0.28200433459273616,0.0,0.0,0.0,27.93883377034948
2025-02-12,26.732831359847737,25.272831664647693,30.558260680490655,25.742149974043006,27.572933264141525,-0.810070221130865,-0.810070221130865,-0.810070221130865,2.604118680427216,2.604118680427216,2.604118680427216,-0.24088163748930005,-0.24088163748930005,-0.24088163748930005,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,1.2219593173449557,1.2219593173449557,1.2219593173449557,0.4103005491650681,0.4103005491650681,0.4103005491650681,1.081512468423782,1.081512468423782,1.081512468423782,-0.2698537002438942,-0.2698537002438942,-0.2698537002438942,0.0,0.0,0.0,27.95479067719269
2025-02-13,26.737091880808926,25.12238621997971,30.63157517374872,25.726978451341548,27.585783517760333,-0.810070221130865,-0.810070221130865,-0.810070221130865,2.604118680427216,2.604118680427216,2.604118680427216,-0.24088163748930005,-0.24088163748930005,-0.24088163748930005,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,1.2411678918630336,1.2411678918630336,1.2411678918630336,0.4103005491650681,0.4103005491650681,0.4103005491650681,1.088322275806842,1.088322275806842,1.088322275806842,-0.2574549331088764,-0.2574549331088764,-0.2574549331088764,0.0,0.0,0.0,27.978259772671958
2025-02-14,26.741352401770115,25.210316200901573,30.633892558472294,25.71134862533271,27.60677153540223,-0.810070221130865,-0.810070221130865,-0.810070221130865,2.604118680427216,2.604118680427216,2.604118680427216,-0.24088163748930005,-0.24088163748930005,-0.24088163748930005,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,1.2493527649810012,1.2493527649810012,1.2493527649810012,0.4103005491650681,0.4103005491650681,0.4103005491650681,1.0839365525338598,1.0839365525338598,1.0839365525338598,-0.24488433671792656,-0.24488433671792656,-0.24488433671792656,0.0,0.0,0.0,27.990705166751116
2025-02-17,26.75413396465368,25.13904475901135,30.673253669917173,25.705703653976016,27.63828741819222,-0.810070221130865,-0.810070221130865,-0.810070221130865,2.604118680427216,2.604118680427216,2.604118680427216,-0.24088163748930005,-0.24088163748930005,-0.24088163748930005,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,1.278823447263321,1.278823447263321,1.278823447263321,0.4103005491650681,0.4103005491650681,0.4103005491650681,1.075603250981315,1.075603250981315,1.075603250981315,-0.2070803528830619,-0.2070803528830619,-0.2070803528830619,0.0,0.0,0.0,28.032957411917
